X,Y,OBJECTID,AWARD_WINNER,PROJECT_DESCRIPTION,RECIPIENT,AWARD_YEAR,CATEGORY,LOCATION,COMMUNITY,LATITUDE,LONGITUDE
592386.8305,4789657.2917,1,Procession,"Ferguson Station is a heritage landmark in the Downtown core of the City Hamilton and is a reflection of the area’s rich history, culture and economic importance. The trains that helped bring prosperity to the area, no longer regularly pass through the","Lester Coloma, Salvation Army, International Village BIA, Core Urban Inc",2021,Award of Merit for Urban Elements,250 King Street East,Hamilton,43.254061,-79.8618395
596394.4785,4781830.8287,2,CONNECT Communities,"A transitional residence for those recovering from acquired brain injuries or stroke – our client, Connect Communities Hamilton, is implementing a new treatment model in Ontario that assists their residents in a life redesign process. This treatment pr",DPAI Architecture Inc.,2021,Award of Merit for Private Buildings – Residential,8 Columbus Gate,Stoney Creek,43.183099,-79.8138442
591945.1951,4789907.0773,3,Olympia Club,"The Olympia Club is a project located in downtown Hamilton which combines two underutilized and decaying buildings in the downtown core fronting on Gore Park.  Once the home of Leslie’s Shoe Store, these two buildings are now home to fully restored and","Core Urban Inc., Lintack Architects Inc., Kalos Engineering Inc., Habilis Engineering, Inc., Seguin Engineering Inc., Webb Planning Consultants Inc.",2021,Award of Merit for Private Buildings – Commercial / Industrial,59 King Street East,Hamilton,43.2563638,-79.8672375
591685.6983,4790546.1904,4,The Gasworks Cultural Centre,"A sensitive renovation and addition to an existing 1850 heritage structure has doubled the size of this visionary non-profit community arts centre.  By placing the addition at the rear of the property, the original structure’s street presence is mainta","TCA / Thier + Curran Architects Inc., The John and Ellie Voortman Charitable Foundation, Mighton Engineering, Ailmar Engineering, CoPa Engineering Ltd.",2021,Award of Merit for Private Buildings – Commercial / Industrial,141 Park Street North,Hamilton,43.2621493,-79.8703275
593581.8088,4790279.2727,5,Bateson Lofts,"This redevelopment upcycles a tired pair of mixed-use buildings into a new catalyst building contributing to the revival of hip Barton Village. The upper floors contain 8 fully rebuilt rental apartments (from 6 originally), with exposed wood joists and r","TCA / Thier + Curran Architects Inc., BCHQ Barton Holding Inc, Ailmar Engineering, CoPa Engineering, Mighton Engineering",2021,Award of Merit  for Private Buildings – Mixed Use,435 Barton Street East,Hamilton,43.2595132,-79.8470152
592244.8444,4790033.9155,6,Hamilton Police Investigation Services Division Facility,"The Hamilton Police Service’s new 65,000 square feet building provides proper forensic laboratory and office space for the Investigative Services Division. It was important for this facility to be located downtown so that victims and witnesses have eas","Stantec Architecture Ltd., City of Hamilton, Hamilton Police Service, McClaren Wilson, Lawrie Inc. (Lab Specialists)",2021,Award of Merit for Public Buildings,100 Wilson Street,Hamilton,43.2574691,-79.8635253
594105.469,4790081.891,7,Depaving Barton Village Boulevards – Creating Places for People and Pollinators,"The idea to beautify Barton Village through Depave Paradise came in response to concerns around urban runoff and under-used, aging boulevards. It identified a unique opportunity to transform some of these small but mighty corners into something vibrant,","Green Venture, Adele Pierre Landscape Architect, Barton Village BIA, EduDeo Ministries, Amaprop Canada Inc.",2021,"Award of Merit for Open Spaces, Public Spaces and Green Infrastructure","621 Barton St E, 579-581 Barton St E, 539 Barton St E",Hamilton,43.257671,-79.8405984
597789.5615,4794551.6482,8,Fisherman’s Pier District Concept Plan,"The Fisherman’s Pier District Concept Plan presents an exciting opportunity to reimagine a complex waterfront space that blends neighbourhood, recreational, industrial and heritage elements. Located in the shadow of the towering Skyway Bridge, the stud","Hamilton Oshawa Port Authority, Civicplan, Toms + McNally Design
",2021,Award of Merit for Visions and Master Plans,"1155 Eastport Dr, Hamilton",Hamilton,43.2974417,-79.7944249
592251.6282,4791762.1627,9,Ken Soble Tower EnerPHit Transformation,"The Ken Soble Tower Transformation is a ground-breaking project rehabilitating a 1967 social housing apartment building in Hamilton, while reinvigorating community spaces, planning for aging-in-place and barrier-free living, and building resilience to a","ERA Architects Inc., City of Hamilton",2021,Award of Merit for Civic Achievement,500 MacNab Street North,Hamilton,43.2730275,-79.8631522
592582.4141,4792152.7696,10,Strategic Master Plan for Hamilton Bayfront Area,"Hamilton is one of Canada’s leading industrial centres; it is the country’s largest steel producers. Yet the decline is obvious, the industry is losing its future and employees. Where should Hamilton go next? 

The thesis examines the potential for s","Yuan Li, University of Toronto",2021,Award of Merit for Student Projects – Architecture,Hamilton Bayfront Area,Hamilton,43.2765035,-79.8590109
600033.0661,4785892.9377,11,Greenbelt Farmers Market & Learning Centre,"A keystone to a healthy community is access to locally grown and healthy foods. The Greenbelt Farmer's Market & Learning Centre aims to engage the local community in growing, eating and shopping locally. With program spaces that teach youth how to garden",Gabriel Garofalo,2021,Award of Excellence Student Projects – Architecture,King at Centennial,Stoney Creek,43.219196,-79.768345
