word,count
",",34
.,33
I,20
the,18
"

",18
to,15
a,15
my,13
”,12
“,12
"""",12
and,12
is,9
he,9
of,8
said,8
you,8
He,8
but,7
in,7
with,7
his,7
shelter,7
foster,6
at,6
was,6
on,6
Bruno,6
be,5
water,5
also,5
has,5
’s,5
-,5
like,5
if,4
while,4
me,4
family,4
so,4
do,4
him,4
she,4
home,4
for,4
who,4
cat,4
much,3
food,3
weight,3
can,3
that,3
pets,3
more,3
put,3
when,3
been,3
or,3
prefer,2
know,2
parents,2
am,2
they,2
getting,2
want,2
eats,2
usually,2
day,2
legs,2
going,2
hind,2
an,2
standing,2
did,2
have,2
not,2
never,2
it,2
will,2
still,2
n’t,2
pet,2
playing,2
drink,2
around,2
sure,2
are,2
only,2
room,2
wrote,2
this,2
This,2
about,2
Ellison,2
old,2
since,2
down,2
The,2
adoption,2
little,2
would,2
because,2
up,2
well,2
by,2
Not,1
feather,1
really,1
wand,1
toy,1
habit,1
scratchers,1
other,1
toys,1
currently,1
though,1
sleep,1
end,1
bed,1
likes,1
scratch,1
sides,1
face,1
lap,1
floor,1
occasionally,1
lying,1
Way,1
Besides,1
Wright,1
eating,1
staying,1
hydrated,1
hobbies,1
simple,1
:,1
When,1
next,1
normal,1
most,1
spent,1
laying,1
far,1
from,1
lay,1
top,1
right,1
neck,1
tummy,1
head,1
shower,1
live,1
25,1
man,1
thriving,1
become,1
active,1
awesome,1
boy,1
great,1
affection,1
loosing,1
continue,1
loss,1
journey,1
Potential,1
adopters,1
stop,1
meet,1
starting,1
weekend,1
pound,1
importance,1
spine,1
shows,1
Rescue,1
tempting,1
touch,1
may,1
swat,1
hand,1
pretend,1
bite,1
Video,1
purring,1
understood,1
furry,1
boss,1
making,1
big,1
gains,1
(,1
rather,1
losses,1
),1
EXTRA,1
least,1
Adoption,1
loves,1
walking,1
former,1
doing,1
tricks,1
loved,1
lose,1
some,1
doubt,1
apparently,1
no,1
had,1
petted,1
kids,1
young,1
It,1
took,1
mom,1
time,1
realize,1
what,1
diet,1
now,1
maybe,1
learned,1
toes,1
extra,1
few,1
meaning,1
Facebook,1
polydactyl,1
happens,1
year,1
7,1
No,1
trim,1
help,1
enough,1
love,1
teach,1
needed,1
They,1
too,1
how,1
meowing,1
just,1
Yes,1
house,1
kitchen,1
where,1
completely,1
different,1
Erin,1
Illinois,1
If,1
Grove,1
larger,1
perhaps,1
meshing,1
multiple,1
bowls,1
Morton,1
give,1
fresh,1
strange,1
once,1
Center,1
?,1
works,1
told,1
particular,1
very,1
bowl,1
Soon,1
found,1
out,1
n't,1
!,1
given,1
11,1
eat,1
April,1
care,1
their,1
's,1
meow,1
News,1
stare,1
drinks,1
lot,1
BuzzFeed,1
"
",1
