word,count
demure,12
mindful,10
 ,7
look,7
house,7
watch,7
phone,6
nail,6
real,5
diva,5
cute,5
crazy,5
cutesy,5
Verizon,4
beddy,4
ugly,4
girl,4
elegant,4
seey,3
cozy,3
beautiful,3
flicky,3
tech,3
morning,3
go,2
simple,2
sweet,2
tomorrow,2
let,2
interview,2
to,2
job,2
tag,2
Willa,2
glibadi,2
Diva,2
bring,2
ice,2
invest,2
walk,2
picky,2
cut,2
wild,2
bag,2
trade,2
Mina,2
nice,2
drive,1
noise,1
Chicago,1
pay,1
availability,1
Hotel,1
Hollywood,1
Betty,1
cheesy,1
Friday,1
guidance,1
mix,1
forever,1
salon,1
hit,1
okay,1
Tvaz,1
Hi,1
blinker,1
free,1
favorite,1
hygienic,1
skillful,1
prize,1
fan,1
water,1
party,1
episode,1
Netflix,1
brace,1
bang,1
eat,1
bed,1
lie,1
quality,1
post,1
course,1
obviously,1
yeah,1
Um,1
snack,1
Wavuzva,1
tree,1
omg,1
mean,1
give,1
lot,1
presentable,1
clown,1
crease,1
green,1
makeup,1
bucket,1
calibrate,1
size,1
pink,1
hot,1
red,1
classy,1
partner,1
staff,1
respectful,1
thank,1
charge,1
finger,1
get,1
type,1
screen,1
crack,1
crunchy,1
crusty,1
musty,1
email,1
text,1
reply,1
Marge,1
Simpson,1
Patty,1
chose,1
come,1
treat,1
balcony,1
tile,1
world,1
hide,1
murid,1
queen,1
Ladies,1
live,1
OMG,1
bush,1
color,1
find,1
Selma,1
help,1
Zillow,1
Angeles,1
Los,1
Divas,1
check,1
reality,1
hire,1
chocho,1
cheaty,1
little,1
shirt,1
modest,1
time,1
