state,sightings
Montana,47
North Carolina,97
North Dakota,6
Nebraska,15
New Hampshire,16
New Jersey,70
New Mexico,42
Nevada,9
New York,108
Ohio,290
Oklahoma,98
Oregon,250
Pennsylvania,117
Rhode Island,5
South Carolina,52
South Dakota,17
Tennessee,99
Texas,237
Utah,70
Virginia,78
Vermont,9
Washington,663
Wisconsin,99
West Virginia,102
Wyoming,28
Alaska,22
Alabama,98
Arkansas,103
Arizona,84
California,441
Colorado,124
Connecticut,16
Delaware,5
Florida,325
Georgia,132
Iowa,76
Idaho,87
Illinois,298
Indiana,78
Kansas,46
Kentucky,113
Louisiana,43
Massachusetts,35
Maryland,35
Maine,17
Michigan,218
Minnesota,73
Missouri,147
Mississippi,23
