state,sightings
Unspecified,117
Alaska,648
Alabama,1416
Arkansas,1304
Arizona,5073
California,16440
Colorado,3338
Connecticut,2046
District of Columbia,156
Delaware,423
Florida,8408
Georgia,2767
Guam,3
Hawaii,681
Iowa,1240
Idaho,1381
Illinois,4331
Indiana,2761
Kansas,1209
Kentucky,1713
Louisiana,1145
Massachusetts,2741
Maryland,1876
Maine,1207
Michigan,3712
Minnesota,2139
Missouri,2836
Mississippi,800
Montana,1021
North Carolina,3724
North Dakota,278
Nebraska,707
New Hampshire,1209
New Jersey,2926
New Mexico,1697
Nevada,1731
New York,5985
Ohio,4506
Oklahoma,1517
Oregon,3597
Pennsylvania,5100
Puerto Rico,192
Rhode Island,603
South Carolina,2264
South Dakota,404
Tennessee,2348
Texas,6288
Utah,1557
Virginia,2734
U.S. Virgin Islands,19
Vermont,613
Washington,7298
Wisconsin,2483
West Virginia,917
Wyoming,419
