state_fips,county_fips,combined_fips,name,percent_unemployed
01,001,01001,"Autauga County, AL",3.6
01,003,01003,"Baldwin County, AL",3.6
01,005,01005,"Barbour County, AL",5.2
01,007,01007,"Bibb County, AL",4.0
01,009,01009,"Blount County, AL",3.5
01,011,01011,"Bullock County, AL",4.7
01,013,01013,"Butler County, AL",4.8
01,015,01015,"Calhoun County, AL",4.7
01,017,01017,"Chambers County, AL",3.9
01,019,01019,"Cherokee County, AL",3.6
01,021,01021,"Chilton County, AL",3.6
01,023,01023,"Choctaw County, AL",5.5
01,025,01025,"Clarke County, AL",7.5
01,027,01027,"Clay County, AL",3.9
01,029,01029,"Cleburne County, AL",4.2
01,031,01031,"Coffee County, AL",3.9
01,033,01033,"Colbert County, AL",4.6
01,035,01035,"Conecuh County, AL",5.2
01,037,01037,"Coosa County, AL",4.2
01,039,01039,"Covington County, AL",4.6
01,041,01041,"Crenshaw County, AL",4.1
01,043,01043,"Cullman County, AL",3.3
01,045,01045,"Dale County, AL",4.2
01,047,01047,"Dallas County, AL",6.5
01,049,01049,"DeKalb County, AL",3.8
01,051,01051,"Elmore County, AL",3.4
01,053,01053,"Escambia County, AL",4.6
01,055,01055,"Etowah County, AL",4.1
01,057,01057,"Fayette County, AL",4.1
01,059,01059,"Franklin County, AL",3.7
01,061,01061,"Geneva County, AL",3.9
01,063,01063,"Greene County, AL",6.7
01,065,01065,"Hale County, AL",5.1
01,067,01067,"Henry County, AL",4.4
01,069,01069,"Houston County, AL",4.0
01,071,01071,"Jackson County, AL",4.1
01,073,01073,"Jefferson County, AL",3.7
01,075,01075,"Lamar County, AL",3.8
01,077,01077,"Lauderdale County, AL",4.2
01,079,01079,"Lawrence County, AL",4.2
01,081,01081,"Lee County, AL",3.6
01,083,01083,"Limestone County, AL",3.5
01,085,01085,"Lowndes County, AL",7.3
01,087,01087,"Macon County, AL",5.5
01,089,01089,"Madison County, AL",3.5
01,091,01091,"Marengo County, AL",5.0
01,093,01093,"Marion County, AL",4.1
01,095,01095,"Marshall County, AL",3.4
01,097,01097,"Mobile County, AL",4.7
01,099,01099,"Monroe County, AL",6.2
01,101,01101,"Montgomery County, AL",4.0
01,103,01103,"Morgan County, AL",3.5
01,105,01105,"Perry County, AL",6.5
01,107,01107,"Pickens County, AL",4.6
01,109,01109,"Pike County, AL",4.5
01,111,01111,"Randolph County, AL",4.0
01,113,01113,"Russell County, AL",4.0
01,115,01115,"St. Clair County, AL",3.5
01,117,01117,"Shelby County, AL",2.9
01,119,01119,"Sumter County, AL",5.9
01,121,01121,"Talladega County, AL",4.3
01,123,01123,"Tallapoosa County, AL",4.2
01,125,01125,"Tuscaloosa County, AL",3.7
01,127,01127,"Walker County, AL",4.2
01,129,01129,"Washington County, AL",5.8
01,131,01131,"Wilcox County, AL",9.6
01,133,01133,"Winston County, AL",4.2
02,013,02013,"Aleutians East Borough, AK",3.0
02,016,02016,"Aleutians West Census Area, AK",3.5
02,020,02020,"Anchorage Borough/municipality, AK",5.5
02,050,02050,"Bethel Census Area, AK",12.8
02,060,02060,"Bristol Bay Borough, AK",6.3
02,068,02068,"Denali Borough, AK",7.8
02,070,02070,"Dillingham Census Area, AK",8.2
02,090,02090,"Fairbanks North Star Borough, AK",5.8
02,100,02100,"Haines Borough, AK",9.5
02,105,02105,"Hoonah-Angoon Census Area, AK",12.6
02,110,02110,"Juneau Borough/city, AK",4.4
02,122,02122,"Kenai Peninsula Borough, AK",7.7
02,130,02130,"Ketchikan Gateway Borough, AK",6.0
02,150,02150,"Kodiak Island Borough, AK",5.8
02,158,02158,"Kusilvak Census Area, AK",19.9
02,164,02164,"Lake and Peninsula Borough, AK",11.6
02,170,02170,"Matanuska-Susitna Borough, AK",7.6
02,180,02180,"Nome Census Area, AK",11.6
02,185,02185,"North Slope Borough, AK",7.0
02,188,02188,"Northwest Arctic Borough, AK",14.2
02,195,02195,"Petersburg Borough, AK",8.7
