name,link,letter_name
Janet Abbate,https://en.wikipedia.org/wiki/Janet_Abbate,A
Tülay Adalı,https://en.wikipedia.org/wiki/T%C3%BClay_Adal%C4%B1,A
Sarita Adve,https://en.wikipedia.org/wiki/Sarita_Adve,A
Frances E. Allen,https://en.wikipedia.org/wiki/Frances_E._Allen,A
Sarah Allen (software developer),https://en.wikipedia.org/wiki/Sarah_Allen_(software_developer),A
Nancy M. Amato,https://en.wikipedia.org/wiki/Nancy_M._Amato,A
Nina Amenta,https://en.wikipedia.org/wiki/Nina_Amenta,A
Dana Angluin,https://en.wikipedia.org/wiki/Dana_Angluin,A
Lisa Anthony,https://en.wikipedia.org/wiki/Lisa_Anthony,A
Annie Antón,https://en.wikipedia.org/wiki/Annie_Ant%C3%B3n,A
Cecilia R. Aragon,https://en.wikipedia.org/wiki/Cecilia_R._Aragon,A
Gillian Arnold (technologist),https://en.wikipedia.org/wiki/Gillian_Arnold_(technologist),A
Winifred Asprey,https://en.wikipedia.org/wiki/Winifred_Asprey,A
Stella Atkins,https://en.wikipedia.org/wiki/Stella_Atkins,A
Terri Attwood,https://en.wikipedia.org/wiki/Terri_Attwood,A
Donna Auguste,https://en.wikipedia.org/wiki/Donna_Auguste,A
Henriette Avram,https://en.wikipedia.org/wiki/Henriette_Avram,A
Rebecca Bace,https://en.wikipedia.org/wiki/Rebecca_Bace,B
Ruzena Bajcsy,https://en.wikipedia.org/wiki/Ruzena_Bajcsy,B
Brenda Baker,https://en.wikipedia.org/wiki/Brenda_Baker,B
Valerie Barr,https://en.wikipedia.org/wiki/Valerie_Barr,B
Jean Bartik,https://en.wikipedia.org/wiki/Jean_Bartik,B
Regina Barzilay,https://en.wikipedia.org/wiki/Regina_Barzilay,B
Evelyn Berezin,https://en.wikipedia.org/wiki/Evelyn_Berezin,B
Bonnie Berger,https://en.wikipedia.org/wiki/Bonnie_Berger,B
Marsha Berger,https://en.wikipedia.org/wiki/Marsha_Berger,B
Francine Berman,https://en.wikipedia.org/wiki/Francine_Berman,B
Danielle Bunten Berry,https://en.wikipedia.org/wiki/Danielle_Bunten_Berry,B
Kim Binsted,https://en.wikipedia.org/wiki/Kim_Binsted,B
