geoid,name,total_population,total_population_25_over,median_income,median_home_value,educational_attainment,white_alone,black_alone,native_alone,asian_alone,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,city,metro_area
11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",5264.0,4072.0,76836.0,453200.0,1991.0,503.0,3786.0,82.0,38.0,0.0,0.0,94.0,807.0,Washington,Washington-Arlington-Alexandria
11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",3347.0,2393.0,54817.0,464200.0,839.0,265.0,2081.0,7.0,63.0,0.0,0.0,79.0,859.0,Washington,Washington-Arlington-Alexandria
11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",1708.0,1386.0,60417.0,302800.0,797.0,685.0,764.0,0.0,67.0,0.0,52.0,67.0,73.0,Washington,Washington-Arlington-Alexandria
11001003400,"Census Tract 34, District of Columbia, District of Columbia",4901.0,2210.0,88772.0,710200.0,1298.0,1287.0,2926.0,0.0,108.0,0.0,6.0,112.0,462.0,Washington,Washington-Arlington-Alexandria
11001005800,"Census Tract 58, District of Columbia, District of Columbia",3039.0,2778.0,137259.0,510700.0,2237.0,1851.0,240.0,0.0,605.0,0.0,0.0,106.0,237.0,Washington,Washington-Arlington-Alexandria
11001006400,"Census Tract 64, District of Columbia, District of Columbia",2488.0,1678.0,19459.0,465200.0,448.0,290.0,2068.0,9.0,0.0,0.0,0.0,0.0,121.0,Washington,Washington-Arlington-Alexandria
11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",3297.0,2073.0,34410.0,239600.0,394.0,76.0,3145.0,0.0,0.0,0.0,0.0,26.0,50.0,Washington,Washington-Arlington-Alexandria
11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",2808.0,2176.0,70156.0,498000.0,898.0,436.0,1955.0,26.0,9.0,0.0,11.0,104.0,267.0,Washington,Washington-Arlington-Alexandria
11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",7563.0,6564.0,113300.0,459700.0,5829.0,4965.0,726.0,0.0,639.0,0.0,26.0,244.0,963.0,Washington,Washington-Arlington-Alexandria
11001003700,"Census Tract 37, District of Columbia, District of Columbia",5917.0,4075.0,79440.0,499500.0,2317.0,2021.0,2145.0,0.0,218.0,0.0,0.0,66.0,1467.0,Washington,Washington-Arlington-Alexandria
11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",3592.0,2352.0,32428.0,263500.0,284.0,164.0,3278.0,0.0,0.0,0.0,0.0,28.0,122.0,Washington,Washington-Arlington-Alexandria
11001001100,"Census Tract 11, District of Columbia, District of Columbia",4947.0,3840.0,154156.0,937000.0,3332.0,3735.0,368.0,39.0,217.0,0.0,0.0,134.0,454.0,Washington,Washington-Arlington-Alexandria
11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",4651.0,3456.0,59811.0,353400.0,1651.0,1128.0,1074.0,3.0,319.0,0.0,64.0,77.0,1989.0,Washington,Washington-Arlington-Alexandria
11001004100,"Census Tract 41, District of Columbia, District of Columbia",2658.0,2298.0,143586.0,977500.0,2142.0,2012.0,137.0,0.0,190.0,0.0,20.0,61.0,238.0,Washington,Washington-Arlington-Alexandria
11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",3675.0,2033.0,24138.0,320000.0,122.0,7.0,3492.0,0.0,0.0,0.0,23.0,19.0,134.0,Washington,Washington-Arlington-Alexandria
11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3682.0,8.0,-666666666.0,-666666666.0,8.0,2351.0,272.0,7.0,493.0,0.0,0.0,123.0,436.0,Washington,Washington-Arlington-Alexandria
11001003800,"Census Tract 38, District of Columbia, District of Columbia",5259.0,4480.0,98093.0,656000.0,3347.0,2792.0,867.0,30.0,271.0,42.0,44.0,121.0,1092.0,Washington,Washington-Arlington-Alexandria
11001006900,"Census Tract 69, District of Columbia, District of Columbia",2379.0,1932.0,144063.0,815700.0,1558.0,1683.0,423.0,0.0,30.0,0.0,0.0,123.0,120.0,Washington,Washington-Arlington-Alexandria
11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",2368.0,2024.0,100333.0,567300.0,1154.0,789.0,1294.0,0.0,43.0,0.0,0.0,14.0,228.0,Washington,Washington-Arlington-Alexandria
11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",4111.0,2672.0,37203.0,251700.0,440.0,121.0,3605.0,29.0,9.0,0.0,20.0,9.0,318.0,Washington,Washington-Arlington-Alexandria
11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",2940.0,2274.0,67112.0,423800.0,883.0,306.0,2236.0,34.0,21.0,0.0,11.0,21.0,324.0,Washington,Washington-Arlington-Alexandria
11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",5643.0,4727.0,89889.0,455700.0,4112.0,4327.0,474.0,52.0,380.0,0.0,0.0,181.0,229.0,Washington,Washington-Arlington-Alexandria
11001003900,"Census Tract 39, District of Columbia, District of Columbia",4643.0,4333.0,97557.0,446100.0,3783.0,3324.0,444.0,0.0,301.0,0.0,16.0,83.0,475.0,Washington,Washington-Arlington-Alexandria
11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",3521.0,2300.0,47713.0,209300.0,347.0,16.0,3323.0,0.0,33.0,0.0,0.0,50.0,99.0,Washington,Washington-Arlington-Alexandria
11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",4888.0,3399.0,40378.0,513900.0,1610.0,924.0,2854.0,0.0,479.0,0.0,14.0,118.0,499.0,Washington,Washington-Arlington-Alexandria
11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",3144.0,2628.0,101891.0,478700.0,1939.0,1531.0,1029.0,27.0,182.0,0.0,0.0,137.0,243.0,Washington,Washington-Arlington-Alexandria
11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",2083.0,1803.0,138295.0,814300.0,1444.0,1187.0,282.0,0.0,132.0,0.0,15.0,94.0,373.0,Washington,Washington-Arlington-Alexandria
11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",5986.0,4981.0,87969.0,470300.0,3508.0,2591.0,1157.0,22.0,426.0,27.0,8.0,268.0,1487.0,Washington,Washington-Arlington-Alexandria
11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",2914.0,1831.0,30704.0,-666666666.0,117.0,0.0,2840.0,0.0,0.0,0.0,41.0,33.0,0.0,Washington,Washington-Arlington-Alexandria
11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",5163.0,2970.0,30764.0,236700.0,205.0,0.0,5056.0,0.0,0.0,0.0,0.0,94.0,13.0,Washington,Washington-Arlington-Alexandria
11001010100,"Census Tract 101, District of Columbia, District of Columbia",2861.0,2415.0,84514.0,431500.0,1902.0,1750.0,363.0,0.0,388.0,0.0,43.0,39.0,278.0,Washington,Washington-Arlington-Alexandria
11001010200,"Census Tract 102, District of Columbia, District of Columbia",2745.0,2325.0,104215.0,561700.0,1792.0,1152.0,1125.0,40.0,124.0,0.0,0.0,117.0,187.0,Washington,Washington-Arlington-Alexandria
11001010300,"Census Tract 103, District of Columbia, District of Columbia",3515.0,2727.0,69741.0,443700.0,1538.0,590.0,1782.0,0.0,68.0,0.0,0.0,64.0,1011.0,Washington,Washington-Arlington-Alexandria
11001010400,"Census Tract 104, District of Columbia, District of Columbia",4625.0,2925.0,36477.0,260300.0,583.0,277.0,4149.0,0.0,0.0,0.0,0.0,32.0,167.0,Washington,Washington-Arlington-Alexandria
11001010500,"Census Tract 105, District of Columbia, District of Columbia",3624.0,3062.0,83750.0,398100.0,2234.0,1515.0,1467.0,0.0,198.0,14.0,12.0,149.0,269.0,Washington,Washington-Arlington-Alexandria
11001010600,"Census Tract 106, District of Columbia, District of Columbia",7167.0,5824.0,110469.0,599300.0,4825.0,4560.0,1694.0,11.0,457.0,0.0,0.0,124.0,321.0,Washington,Washington-Arlington-Alexandria
11001010700,"Census Tract 107, District of Columbia, District of Columbia",1711.0,1174.0,73750.0,444700.0,1053.0,1143.0,123.0,0.0,179.0,0.0,0.0,23.0,243.0,Washington,Washington-Arlington-Alexandria
11001010900,"Census Tract 109, District of Columbia, District of Columbia",4054.0,2019.0,31094.0,334100.0,311.0,19.0,3907.0,0.0,14.0,0.0,9.0,34.0,71.0,Washington,Washington-Arlington-Alexandria
11001011000,"Census Tract 110, District of Columbia, District of Columbia",3720.0,3278.0,75529.0,336900.0,2691.0,2313.0,978.0,37.0,162.0,0.0,0.0,78.0,152.0,Washington,Washington-Arlington-Alexandria
11001011100,"Census Tract 111, District of Columbia, District of Columbia",5548.0,4202.0,75781.0,427300.0,1669.0,416.0,4473.0,8.0,47.0,0.0,8.0,126.0,470.0,Washington,Washington-Arlington-Alexandria
11001010800,"Census Tract 108, District of Columbia, District of Columbia",6451.0,780.0,36058.0,242500.0,649.0,4155.0,749.0,0.0,773.0,8.0,0.0,235.0,531.0,Washington,Washington-Arlington-Alexandria
11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3217.0,2600.0,91711.0,420800.0,1672.0,1224.0,1435.0,0.0,41.0,0.0,0.0,79.0,438.0,Washington,Washington-Arlington-Alexandria
11001003000,"Census Tract 30, District of Columbia, District of Columbia",3279.0,2545.0,67457.0,677900.0,1628.0,1316.0,1275.0,7.0,95.0,0.0,9.0,46.0,538.0,Washington,Washington-Arlington-Alexandria
11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",4066.0,3347.0,121250.0,687200.0,2461.0,1700.0,1765.0,0.0,182.0,0.0,8.0,159.0,252.0,Washington,Washington-Arlington-Alexandria
