name,link
Ilkay Altintas,/wiki/Ilkay_Altintas
Sihem Amer-Yahia,/wiki/Sihem_Amer-Yahia
Fatmah Baothman,/wiki/Fatmah_Baothman
Cecilia Berdichevsky,/wiki/Cecilia_Berdichevsky
Abeba Birhane,/wiki/Abeba_Birhane
Mihaela Cardei,/wiki/Mihaela_Cardei
Claire Cardie,/wiki/Claire_Cardie
Marine Carpuat,/wiki/Marine_Carpuat
Maggie Cheng,/wiki/Maggie_Cheng
Yejin Choi,/wiki/Yejin_Choi
Tanzeem Choudhury,/wiki/Tanzeem_Choudhury
Tawanna Dillahunt,/wiki/Tawanna_Dillahunt
Elena Fernández,/wiki/Elena_Fern%C3%A1ndez
Pascale Fung,/wiki/Pascale_Fung
Timnit Gebru,/wiki/Timnit_Gebru
Rebeca Guber,/wiki/Rebeca_Guber
Iryna Gurevych,/wiki/Iryna_Gurevych
Marti Hearst,/wiki/Marti_Hearst
Sandra Mitchell Hedetniemi,/wiki/Sandra_Mitchell_Hedetniemi
Hagit Hel-Or,/wiki/Hagit_Hel-Or
Kristina Höök,/wiki/Kristina_H%C3%B6%C3%B6k
Marieke Huisman,/wiki/Marieke_Huisman
Valérie Issarny,/wiki/Val%C3%A9rie_Issarny
Heng Ji,/wiki/Heng_Ji
Samantha John,/wiki/Samantha_John
Kate Keahey,/wiki/Kate_Keahey
Jetty Kleijn,/wiki/Jetty_Kleijn
Martine Labbé,/wiki/Martine_Labb%C3%A9
Mirella Lapata,/wiki/Mirella_Lapata
Latifa Al-Abdulkarim,/wiki/Latifa_Al-Abdulkarim
Lillian Lee (computer scientist),/wiki/Lillian_Lee_(computer_scientist)
Diane Litman,/wiki/Diane_Litman
Yanxi Liu,/wiki/Yanxi_Liu
Ada Lovelace,/wiki/Ada_Lovelace
Urmila Mahadev,/wiki/Urmila_Mahadev
Diana Maynard,/wiki/Diana_Maynard
Megan Squire,/wiki/Megan_Squire
Margaret Mitchell (scientist),/wiki/Margaret_Mitchell_(scientist)
Marie-Francine Moens,/wiki/Marie-Francine_Moens
Ani Nenkova,/wiki/Ani_Nenkova
Ann Nicholson,/wiki/Ann_Nicholson
Gabriela Ochoa,/wiki/Gabriela_Ochoa
Catherine Pelachaud,/wiki/Catherine_Pelachaud
Stormy Peters,/wiki/Stormy_Peters
Cicely Popplewell,/wiki/Cicely_Popplewell
Deborah Raji,/wiki/Deborah_Raji
Carolyn Rosé,/wiki/Carolyn_Ros%C3%A9
Alessandra Sala,/wiki/Alessandra_Sala
Angela Sasse,/wiki/Angela_Sasse
Irena Spasić,/wiki/Irena_Spasi%C4%87
Larissa Suzuki,/wiki/Larissa_Suzuki
Edda Sveinsdottir,/wiki/Edda_Sveinsdottir
Michela Taufer,/wiki/Michela_Taufer
Valerie Taylor (computer scientist),/wiki/Valerie_Taylor_(computer_scientist)
Elaine G. Toms,/wiki/Elaine_G._Toms
Mihaela van der Schaar,/wiki/Mihaela_van_der_Schaar
Ingrid Verbauwhede,/wiki/Ingrid_Verbauwhede
Hanna Wallach,/wiki/Hanna_Wallach
Wei Wang (computer scientist),/wiki/Wei_Wang_(computer_scientist)
Ruth A. Weiss,/wiki/Ruth_A._Weiss
Marsha Rhea Williams,/wiki/Marsha_Rhea_Williams
