date_received,product,sub_product,issue,sub_issue,complaint_what_happened,company_public_response,company,state,zip_code,consumer_consent_provided,submitted_via,date_sent_to_company,company_response,timely,tags,consumer_disputed,complaint_id
2018-02-20T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive notice of right to dispute,"This is complicated. But we can afford to pay our mortgage so why can't we? 

I have been living in my home paying a mortgage/rent for 15 years. I fell into hard times in XXXX and my father in law bought the house from the bank for us to save it and to reduce monthly costs. I continued paying the entire mortgage to the bank each month until XXXX. In XXXX my father in law did a loan modification with the bank to lower monthly costs. The monthly mortgage rate would now be {$1800.00}. We did those payments for the required 4 months. Next the bank just needed a signed approval form on the new Mortgage rate. The Bank said they sent it to our location XXXX XXXX, but we never got it. We called the bank they said they could not resend it because it was past the due date and they would not take our monthly payment. I do not have anything but verbal proof of this. 

I hired a lawyer after 2 months of no communication with Bank of America, BOA. My lawyer = the XXXX XXXX XXXX who specializes in Loan Modification Specialties. 

At the same time my father in law XXXX XXXX. He left the house to his estate, my husband and his two sisters. The two sisters wanted us to keep the house just as we wanted to keep the house. We told the bank what happened and they said we had to Short Sale the home. But why, no one would tell me my options== bank of america made us contact so many departments, and everywhere was no help.We couldn't get anyone at BOA to speak to us so I had to leave it all to our Legal Group , assigning them that right.

The Legal Group said we should try for an Assumption plan to get approved. We were trying to do a Loan Modification through a different department too, but we were not getting any where. We were denied for the Loan Modification, the bank said because the owner died. But we wanted to save the house. My legal group said it wouldn't work. So in the mean time we continued to try to get the Assumption Plan passed, that took 2 years! Why so long, finally We had been sent in XX/XX/XXXX a foreclosure notice from the courts from BOA, Foreclosure date : XX/XX/XXXX Auction date. 

Then still pending any notice from BOA, weeks before foreclosure, we finally get denied for the Assumption Plan. No reason attached. But my lawyer said they wanted us to pay XXXX to do the Assumption Plan. At that time we had not that amount in our bank, I had to time to prepare. We assume that is why BOA denied us but we could have gotten that amount if we had, had time or if we knew who to speak to. 

Then our Legal Group said we should apply for a mortgage and buy out the home from BOA. We only had 3 weeks to save the home. Everything was going good until the under-writer said my husband was on the deed to the home and we no longer can apply for a mortgage ( you can not buy something you own ). No one asked us about the deed, but our Legal Group knew all our history. Why couldn't the BOA or even our Legal Group tell us that, or even help us with options to save our home.

Our Legal Group has been through so many departments but I feel they are not concentrating on my case, I did however pay them a lot of money. I have tried to contact the bank on my own but they will not speak to me without my Legal Group on the phone. BOA said I need to fill out a Seize and Desist letter, eliminating my Legal Groups ' help. At this time, I am scared to do that. I do not want to loose my home. And I do not want to eliminate help. 

I gave in writing a letter to BOA allowing my Legal Group all access to my case, I gave BOA the Legal Groups phone number and their address instructing BOA to send all correspondence and phone calls to the Legal Group, still they are not sending everything to them. 

On XX/XX/XXXX BOA send a Uniform Borrowers Assistant form to the Executor of my husbands ' fathers Estate. Which is his sister who wrote a letter to BOA relinquishing all her rights ( in the very beginning of this problem ), telling the bank to send all documents to the Legal Group and me, my address. They still don't abide. Now I have a new foreclosure date of XX/XX/XXXX, I do not have much time. And what is this Uniform Borrowers form?, well my Legal Group says its a Loan Modification form ... .. 

In the beginning, we were denied Loan Modification because they said the Loan and the deed are two separate things. Now they send us this form? This form is different that anything I have gotten before, do I have other options? I have no one to answer these questions. It is attached. 

I do not know what to do at this point. I do not know why we can not speak to someone at BOA who can help us save our home, we just get the run around and I pay for outside help and still get the run around.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,,Consent provided,Web,2018-02-21T00:00:00.000,Closed with explanation,Yes,,N/A,2820511
2018-08-01T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Seized or attempted to seize your property,"I am in receipt of Select Portfolio Servicing ( SPS ) response dated XX/XX/18, which was not received by me until XX/XX/18. SPS continues to be in violation of 12 CFR Part 1024 ( Regulation X ). They have not sufficiently responded to my error notification and qualified written request for information, which is dated XX/XX/2018 and XX/XX/2018. In fact, they refused to answer many numerous questions and address my concerns. See attached documentation. SPS continues to misrepresent the facts and continues to avoid answering my QWR 's with truth and completeness.",,"SELECT PORTFOLIO SERVICING, INC.",NJ,08085,Consent provided,Web,2018-08-01T00:00:00.000,Closed with explanation,Yes,,N/A,2979617
2018-08-09T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Seized or attempted to seize your property,Ive been requesting a modification since XX/XX/2017. That is when I was able to make my trial payments after my retirement went through.SLS put through a modification in XX/XX/2017 when I had no income to pay. Currently I can make the payments.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,NJ,086XX,Consent provided,Web,2018-08-09T00:00:00.000,Closed with explanation,Yes,,N/A,2987931
2018-06-05T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt is not yours,"Complaint : SPS 's failure to specifically and sufficiently respond to consumer 's notice of error or information request or qualified written request or CFPB complaints.

Attn : XXXX XXXX, Relationship Manager, XXXX XXXX, Consumer Ombudsman Specialist, XXXX XXXX, Ombudsman Specialist XX/XX/XXXX Select Portfolio Servicing Inc.

XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX Fax XXXX Account # XXXX RE : Notice of Error or Information Request or Qualified Written Request Please respond to the following errors and/or request for information : # 1 In a letter dated XX/XX/XXXX SPS states, "" We determined that we are unable to assist you in this proposed arrangement because pursuant to the servicing agreement governing this account, the owner of your mortgage has a right of approval and has denied this option based on a business decision. '' What proposed arrangement is SPS referring to? Please provide copy of the section of servicing agreement that prohibits such arrangement. Note that just a day prior on XX/XX/XXXX, I received a letter that stated, "" SPS, the mortgage servicer on the above referenced account, is currently reviewing your request for options to resolve the delinquency on this account. '' # 2 SPS failed to respond to the following concerns regarding CFPB # XXXX : In a letter from SPS on XX/XX/XXXX, SPS states, "" To reiterate, you question SPS adding Lender Placed Insurance ( LPI ) to the account. SPS does not show that any LPI has been added to the account. '' If that is the case, please explain why on the latest Mortgage Statement under transaction activity, there is a line item titled Taxes & Insurance. The amount is {$1200.00}. On XX/XX/XXXX SPS paid taxes in the amount of {$1100.00} ( on wrong property per note and mortgage ) for a difference of {$110.00}. What was the additional {$110.00} for? Insurance? In addition, there are "" other fees '' listed for XXXX cents and "" expenses pd by servicer '' in the amount of {$160.00}. Please provide account history detailing all charges for account # XXXX  with justification.

# 3 The following concerns noted in CFPB # XXXX  were not addressed in SPS 's latest response dated XX/XX/XXXX : A ) Loan Modification ( dated XX/XX/XXXX ) falsification allegations, B ) Conflict of information regarding address of XXXX XXXX XXXX XXXX. XXXX XXXX XXXX XXXX XXXX, XXXX XXXX vs XXXX  XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX. Which is it? C ) Role of Relationship Manager XXXX XXXX. Why have I never heard from her?

# 4 In a response from SPS dated XX/XX/XXXX, SPS states, "" In your inquiry, you state that we do not have the correct legal description for the subject property. SPS appreciates you pointing this out and has referred this issue to the appropriate department for research and if necessary correction. '' What is the current status? What is the legal description in the note and mortgage SPS is attempting to collect debt on? What is the address of the property SPS is attempting to collect debt on? What deed is attached to the property that SPS is attempting to collect debt on?

# 5 In a response from SPS dated XX/XX/XXXX, SPS states, "" The account was modified on XX/XX/XXXX ( Enclosed ). '' Besides the fact this document was allegedly fabricated, the Loan Modification Agreement itself under any circumstance precludes the assumption or assignment of the modification agreement ( Modification Agreement, section G. titled Loan and Agreement May Not be Assigned ). The Loan Modification Agreement is null and void.

As I have previously pointed out, the recorded notes and mortgages fraudulently established and sold by Beneficial Homeowner Services to the alleged new owner/noteholder, and now serviced by SPS, are severely deficient and unenforceable. I continue to dispute all alleged debt associated with account # XXXX. XXXX XXXX XXXX XXXX  and SPS as servicer continue to try to enforce an unenforceable and erroneous obligation. To date, they have erroneously paid property taxes, conducted erroneous inspections, including a Broker Price Opinion and threaten foreclosure on a property they have no legal security interest in.

Besides legal ramifications based on the above allegations, please allow me to remind SPS of it's RESPA obligations regarding Notices of Error or Information Requests or Qualified Written Requests.",,"SELECT PORTFOLIO SERVICING, INC.",NJ,08085,Consent provided,Web,2018-06-05T00:00:00.000,Closed with explanation,Yes,,N/A,2927287
2018-04-12T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Seized or attempted to seize your property,,,"Fay Servicing, LLC",NJ,078XX,Consent not provided,Web,2018-04-12T00:00:00.000,Closed with explanation,Yes,,N/A,2873710
2018-02-08T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"RCS Recovery Services, LLC",NJ,07002,Consent not provided,Web,2018-02-08T00:00:00.000,Closed with explanation,Yes,,N/A,2807689
2018-07-23T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,"My bankruptcy was discharged in 2014. The lender of the loan in question ( Santander ) was also listed in the bankruptcy and the loan was discharged. The original lender ( XXXX ) was bought by Santander bank. Apparently, Santander is assigning loans and has started sending bills for this very same discharged loan. I also just found out that Santander has managed to add a "" delinquency '' on my credit report which is of course affecting my credit score. I suppose to benefit them in some way, the entry on my credit report goes back to right before I filed for bankruptcy. My thinking is they did so to make it look like it wasn't added to the bankruptcy. Yet again, I have never had an account directly with this bank. They have essentially fabricated a new account in my name, and established their own line of delinquency, so they can attempt to collect the debt that has already been discharged.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SANTANDER BANK, NATIONAL ASSOCIATION",NJ,080XX,Consent provided,Web,2018-07-26T00:00:00.000,Closed with explanation,Yes,,N/A,2971055
2018-11-05T00:00:00.000,Debt collection,Mortgage debt,Communication tactics,"You told them to stop contacting you, but they keep trying","On XX/XX/2018 at XXXX EST, I got a phone call from a HSBC collections department representative, asking if I was going to make this month 's payment on time, and if he could get that going for me today. 

Payment is due on XX/XX/XXXX, and past due on the XX/XX/XXXX. 

I told him I would have it on XX/XX/XXXX, and he seemed to be ok with that. 

He then asked about XXXX 's payment, if I would have it on time, and that's when I got a bit angry about his line of questioning, and why I was being called in the first place, since nothing is past due. 

I told him that if this is they way they are going to do business with me, then to please don't call me any further because it felt like harassment. I'm not sure he understood, so I repeated to clarify my stand on this issue, but I'm not sure he got the message.",,HSBC NORTH AMERICA HOLDINGS INC.,NJ,,Consent provided,Web,2018-11-05T00:00:00.000,Closed with explanation,Yes,,N/A,3066259
2018-04-25T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Seized or attempted to seize your property,,,"Seterus, Inc.",NJ,078XX,Consent not provided,Web,2018-04-26T00:00:00.000,Closed with explanation,Yes,,N/A,2887604
2018-07-24T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,"BAYVIEW LOAN SERVICING, LLC",NJ,07050,N/A,Referral,2018-07-24T00:00:00.000,Closed with explanation,Yes,,N/A,2971459
