date_received,product,sub_product,issue,sub_issue,complaint_what_happened,company_public_response,company,state,zip_code,consumer_consent_provided,submitted_via,date_sent_to_company,company_response,timely,tags,consumer_disputed,complaint_id
2018-11-08T00:00:00.000,Debt collection,Mortgage debt,False statements or representation,Attempted to collect wrong amount,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",NY,117XX,Other,Web,2018-11-20T00:00:00.000,Closed with explanation,Yes,,N/A,3069926
2018-06-26T00:00:00.000,Debt collection,Mortgage debt,Communication tactics,Frequent or repeated calls,On XX/XX/XXXX at XXXX XXXX XXXX XXXX called and left a voice message. Then at XXXX a rep called again and left another voice message. I can understand once a day but calling again is harassment. I still have the voicemails. This isnt just about mortgage. I have several loans with this bank,Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,NY,142XX,Consent provided,Web,2018-06-26T00:00:00.000,Closed with explanation,Yes,,N/A,2946749
2018-09-24T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was paid,"MY home equity loan was sold to Rushmore Loan Management Services LLC on XX/XX/2018. They called me on XX/XX/2018 in regard to my XX/XX/2018 payment. That payment was made to XXXX XXXX as instructed before XX/XX/2018. It was made on XX/XX/2018. Yet XXXX XXXX contacted me about this payment. I informed them that the payment was made and they should be following up with the institution that they bought the loan from. I also asked them where my payment coupons were for all payments going forward as none were sent to me. I received another call from Rushmore on XX/XX/2018 in reagrd to the same exact queries, where was my XX/XX/2018 payment? I informed them AGAIN that it was sent to XXXX  XXXX as instructed by Rushmore 's  only and first letter to me. I again stated to them that I have not received any payment coupons for what would be a XX/XX/2018 payment and here it is XX/XX/2018. I do not want to pay these clowns on line as I am not trusting them and they have very bad reviews online. I want to make my payment via US Mail but they wont provide me with a payment coupon to do so.",,RUSHMORE LOAN MANAGEMENT SERVICES LLC,NY,113XX,Consent provided,Web,2018-09-24T00:00:00.000,Closed with explanation,Yes,,N/A,3027773
2018-10-11T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Threatened to sue you for very old debt,,,SN SERVICING CORPORATION,NY,11530,Consent not provided,Web,2018-11-05T00:00:00.000,Closed with explanation,Yes,,N/A,3043327
2018-03-20T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,PNC Bank N.A.,NY,11374,N/A,Postal mail,2018-03-20T00:00:00.000,Closed with explanation,Yes,,N/A,2848843
2018-05-31T00:00:00.000,Debt collection,Mortgage debt,Took or threatened to take negative or legal action,Seized or attempted to seize your property,,,"LEOPOLD & ASSOCIATES, PLLC",NY,10573,N/A,Phone,2018-05-31T00:00:00.000,Closed with explanation,Yes,,N/A,2922644
2018-11-01T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,,"TIAA, FSB",NY,11706,N/A,Referral,2018-11-02T00:00:00.000,Closed with explanation,Yes,,N/A,3063186
2018-10-01T00:00:00.000,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was result of identity theft,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NY,11226,Consent not provided,Web,2018-10-01T00:00:00.000,Closed with explanation,Yes,Older American,N/A,3033613
2018-12-27T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,"This complaint is stating that your bank has deliberately cut off several years of payment history to re-age my account. Even though the account is missing several years of payment history, the timeline as to when the account should be deleted, under the current late payment history is close, within a few months. Accordingly, I request your bank to do a full review of my payment history, and not delete any late payment history in the process. If there were any additional late payments not posted, then I am within my rights to have the trade line deleted permanently. I understand that your bank must comply with the rules and guidelines of the Fair Credit Reporting Act and the Fair Debt Collection Practices Act. There is currently no collection enforcement that can be accomplished due to the rules within my state of residence. If my husband is the responsible party on the account, and I was just an authorizer user, then I respectfully request the deletion of the trade line. There should be a definitive deletion date within the 7-year rule to this  account. However, I believe that since your bank has cut off several years of payment history, there is a high level of probability that the account should have been deleted years ago. Please comply within the rules as well as your banks subscriber agreement with all three pertinent credit reporting agencies. PLEASE DELETE THIS ACCOUNT PERMANENTLY!!!",,NATIONSTAR MORTGAGE,NY,122XX,Consent provided,Web,2018-12-27T00:00:00.000,Closed with explanation,Yes,,N/A,3111339
2018-07-05T00:00:00.000,Debt collection,Mortgage debt,Written notification about debt,Didn't receive enough information to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,NY,11510,N/A,Referral,2018-07-05T00:00:00.000,Closed with explanation,Yes,,N/A,2953977
