job_title,job_id,employer_id,payment,description
DE Shaw Twitter: Follow + Retweet,b1befe34f477,Member_1014973,$0.75,"1. Go to this link - https://twitter.com/DEShawInsider/status/1176597146776289281
2. Follow this account on Twitter
3. Retweet this recent post
4. Take a screenshot of the repost"
Twitter Retweet: Post,18e83bc2b8ff,Member_984354,$0.10,1. Retweet this: https://twitter.com/smodelanalytics/status/1175893656198209542
Talkspace Twitter Follow,14e6852d9719,Member_1014973,$0.45,"1. Go to google.com

2. Search ""talkspace"" without quotations

3. Find their Twitter account on p1 or 2 of results

4. Follow that account, and close your browser window."
Highland Capital Management Twitter Likes,ac76461b526a,Member_1014973,$0.65,"1. Log in to your Twitter account (must have at least 150 followers to participate).
2. Find Highland Capital Management (@HighlandCapMgmt) on Twitter.
3. Follow the account.
4. Like four tweets tweeted by @HighlandCapMgmt"
Jeunesse Global Twitter Likes,b82c97a00285,Member_1014973,$0.65,"1. Log in to your Twitter account (must have at least 150 followers to participate).
2. Find Jeunesse Global (JeunesseHQ) on Twitter.
3. Follow the account.
4. Like four tweets tweeted by JeunesseHQ."
DE Shaw Twitter Followers,b1fa30661f01,Member_1014973,$0.65,"You must be based in the US to do this job
1. Go to this Twitter profile - https://twitter.com/DEShawInsider
2. Follow this account
3. Take a screenshot of the account
4. Exit browser"
Carsten Thiel Twitter Follow,673b0e51960e,Member_1014973,$0.65,"1. Go to https://twitter.com/_carstenthiel

2. Follow Carsten's account and like at least one tweet on his timeline, but not necessarily the first tweet."
Tim Ioannides Twitter Follow,76c70b7a3c63,Member_1014973,$0.65,"1. Go to https://twitter.com/IoannidesTim

2. Follow Tim's account and like at least one tweet on his timeline, but not necessarily the first tweet."
Omeed Malik Twitter Follow,a950632f4cc6,Member_1014973,$0.65,"1. Go to https://twitter.com/realomeedmalik

2. Follow Omeed's account and like at least one tweet on his timeline, but not necessarily the first tweet."
Twitter Follow + Comment + Retweet + Like + Share + Screenshot + Bonus: Post,18700f93beb9,Member_69213,$0.10,"1. Sign out from Google and go to below Twitter account.  Pick any post form the last 10, then do the following 

https://twitter.com/webcheckwriter

2. Follow us
3. Reply/Comment it/Suggest it
4. Retweet it with a suitable comment
5. Like it
6. Click URL and Visit that Page for 5 minutes,
7. Share the Page after visiting. You will see a vertical share button on the right side of the page. Share Multiple on your other social media and Get Bonus for Each Extra. Make sure publicly Shared

Bonus: Share that post in your other social media and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Share + Screenshot: U.S. Money Reserve (Forbes),2c136267fef7,Member_1014973,$0.65,"You must have 100 Twitter followers.

1. Log in to your Twitter account.
2. Make sure that your location is US.
3. Share this article on Twitter: https://www.forbes.com/sites/cherylrobinson/2019/06/21/angela-koch-us-money-reserve/
4. Close your browser"
